单词,总次数,完形,阅读,新题型,翻译,写作,完整试卷,未分类,出现年份
impartial,5,2,2,0,0,0,0,1,"1998,2007,2012"
region,5,0,2,0,0,0,2,1,"1998,2015,2023"
lowest,5,0,2,1,0,0,1,1,"1998,2005,2023"
san,5,1,2,0,0,0,1,1,"1998,2004,2015"
belt,5,0,3,0,0,0,1,1,"1998,2004,2016"
chose,5,1,2,0,0,0,1,1,1998-2018(4年)
considerably,5,0,2,1,0,0,1,1,1998-2023(4年)
delayed,5,0,4,0,0,0,0,1,1998-2019(4年)
engaged,5,0,2,0,0,0,2,1,1998-2023(4年)
scattered,5,0,3,0,0,0,1,1,"1998,1999,2014"
globe,5,1,3,0,0,0,0,1,"1998,2006"
volcanoes,5,0,4,0,0,0,0,1,1998
drifting,5,0,4,0,0,0,0,1,1998
earth's,5,0,4,0,0,0,0,1,"1998,2005"
dead,5,0,3,1,0,0,0,1,"1998,2005,2010"
creates,5,0,3,0,0,0,1,1,1998-2022(4年)
break,5,0,2,0,0,0,2,1,1998-2022(4年)
formation,5,0,4,0,0,0,0,1,"1998,2009"
mobility,5,0,2,0,0,0,2,1,"1998,2022"
explaining,5,0,4,0,0,0,0,1,1998-2019(4年)
dense,5,1,2,0,1,0,0,1,1998-2019(4年)
astronomers,5,0,4,0,0,0,0,1,"1998,2017"
wait,5,1,1,1,0,0,1,1,1998-2016(4年)
trillion,5,0,4,0,0,0,0,1,1998
respected,5,1,2,1,0,0,0,1,1998-2016(4年)
conveyed,5,1,1,0,1,1,0,1,1998-2011(4年)
operations,5,1,2,0,0,0,1,1,1999-2020(4年)
injury,5,1,3,0,0,0,0,1,1999
vivid,5,1,1,0,0,0,2,1,"1999,2005,2023"
alter,5,2,1,1,0,0,0,1,1999-2011(4年)
parta,5,0,3,0,0,0,1,1,1999-2004(4年)
warn,5,0,4,0,0,0,0,1,"1999,2003"
troubles,5,0,2,1,1,0,0,1,1999-2016(4年)
anticipate,5,0,4,0,0,0,0,1,1999-2019(4年)
manufacturers,5,0,3,1,0,0,0,1,"1999,2005,2024"
courts,5,0,2,0,1,0,1,1,1999-2020(4年)
wouldn't,5,0,2,1,0,0,1,1,1999-2016(4年)
stating,5,0,3,0,0,1,0,1,1999-2015(4年)
moderate,5,3,1,0,0,0,0,1,1999-2017(4年)
promised,5,1,3,0,0,0,0,1,1999-2013(4年)
doubts,5,1,3,0,0,0,0,1,1999-2018(4年)
conducting,5,1,1,2,0,0,0,1,"1999,2010,2018"
transactions,5,0,4,0,0,0,0,1,"1999,2003,2010"
strategies,5,0,3,1,0,0,0,1,"1999,2002,2007"
pull,5,0,3,1,0,0,0,1,1999-2024(4年)
targeted,5,0,2,1,0,0,1,1,"1999,2013,2023"
subscribers,5,0,4,0,0,0,0,1,"1999,2008"
expand,5,0,3,0,0,0,1,1,1999-2024(4年)
speaking,5,0,3,0,0,0,1,1,1999-2008(4年)
priority,5,1,3,0,0,0,0,1,"1999,2009,2016"
arguing,5,0,3,1,0,0,0,1,"1999,2005,2019"
aims,5,0,2,0,1,0,1,1,1999-2020(4年)
incomplete,5,0,4,0,0,0,0,1,"1999,2005,2012"
pursue,5,0,3,0,0,0,1,1,1999-2011(4年)
optimism,5,0,2,0,2,0,0,1,1999-2016(4年)
vocational,5,0,4,0,0,0,0,1,"1999,2018"
insist,5,1,2,0,0,0,1,1,1999-2024(4年)
couple,5,1,3,0,0,0,0,1,1999-2016(4年)
indispensable,5,0,2,0,0,0,2,1,1999-2022(4年)
arrival,5,0,4,0,0,0,0,1,"1999,2001,2002"
rooted,5,2,2,0,0,0,0,1,1999-2012(4年)
candidates,5,0,3,0,0,0,1,1,1999-2020(4年)
revealing,5,1,1,0,1,0,1,1,1999-2024(4年)
shapiro,5,0,4,0,0,0,0,1,1999
wisdom,5,0,3,0,1,0,0,1,1999-2016(4年)
recommendation,5,0,1,0,0,3,0,1,1999-2017(4年)
restrictions,5,0,2,0,0,1,1,1,1999-2017(4年)
fears,5,1,3,0,0,0,0,1,"1999,2005,2007"
settled,5,1,3,0,0,0,0,1,"1999,2024"
privately,5,0,2,1,0,0,1,1,"1999,2008,2023"
transfer,5,1,2,1,0,0,0,1,"1999,2017,2024"
calling,5,0,3,1,0,0,0,1,1999-2019(4年)
explicitly,5,0,3,0,0,0,1,1,1999-2016(4年)
stated,5,2,2,0,0,0,0,1,1999-2009(4年)
sir,5,0,2,0,0,0,2,1,1999-2022(4年)
apple,5,0,3,0,0,0,1,1,"1999,2020"
gather,5,0,2,1,0,0,1,1,1999-2007(4年)
inconclusive,5,1,2,0,0,0,1,1,1999-2022(4年)
speculate,5,0,3,0,0,0,1,1,"1999,2020"
victim,5,0,4,0,0,0,0,1,"1999,2007,2009"
planned,5,0,3,0,0,0,1,1,1999-2020(4年)
perfectly,5,0,1,2,1,0,0,1,1999-2024(4年)
logical,5,0,3,0,0,0,1,1,1999-2020(4年)
desirable,5,1,2,0,1,0,0,1,1999-2012(4年)
prediction,5,0,3,0,0,0,1,1,"1999,2003,2022"
measured,5,0,4,0,0,0,0,1,"1999,2011,2017"
closely,5,0,2,1,1,0,0,1,1999-2010(4年)
craft,5,0,3,0,1,0,0,1,1999-2015(4年)
primacy,5,0,3,0,0,0,1,1,1999-2023(4年)
branches,5,0,3,0,0,0,1,1,"1999,2006,2023"
suggestion,5,0,3,0,0,1,0,1,1999-2024(4年)
produces,5,3,1,0,0,0,0,1,2000-2024(4年)
commodity,5,1,3,0,0,0,0,1,"2000,2002"
supplement,5,1,3,0,0,0,0,1,2000-2018(4年)
vessels,5,2,1,0,1,0,0,1,2000-2015(4年)
eight,5,0,3,1,0,0,0,1,"2000,2018,2024"
bought,5,0,4,0,0,0,0,1,2000-2017(4年)
sat,5,0,4,0,0,0,0,1,"2000,2007"
solely,5,0,2,1,1,0,0,1,"2000,2010,2016"
richard,5,0,3,0,0,0,1,1,"2000,2003,2004"
proud,5,0,3,0,0,0,1,1,2000-2022(4年)
intense,5,0,2,1,0,0,1,1,2000-2022(4年)
males,5,0,4,0,0,0,0,1,"2000,2005,2008"
male,5,2,2,0,0,0,0,1,"2000,2005,2016"
boy,5,0,2,1,1,0,0,1,"2000,2017,2018"
survive,5,0,3,0,1,0,0,1,2000-2015(4年)
darwin,5,0,1,1,2,0,0,1,"2000,2008,2009"
wholly,5,0,2,0,2,0,0,1,2000-2013(4年)
evolving,5,1,1,1,0,0,1,1,2000-2022(4年)
disappearing,5,0,2,0,1,0,1,1,2000-2020(4年)
admitting,5,0,3,0,1,0,0,1,"2000,2010,2011"
till,5,0,3,0,0,0,1,1,2000-2020(4年)
violence,5,0,4,0,0,0,0,1,"2000,2008"
imitate,5,0,4,0,0,0,0,1,2000-2019(4年)
sizes,5,0,3,0,0,0,1,1,"2000,2006,2023"
confused,5,1,1,0,1,0,1,1,2000-2019(4年)
river,5,0,1,1,0,0,2,1,"2000,2006,2023"
purposes,5,0,2,1,0,0,1,1,2000-2022(4年)
rigid,5,0,3,0,0,0,1,1,2000-2018(4年)
praised,5,0,4,0,0,0,0,1,"2000,2017,2019"
courage,5,0,1,0,0,0,3,1,"2000,2014"
committee,5,2,1,1,0,0,0,1,"2000,2001,2005"
frustration,5,0,3,0,0,0,1,1,"2000,2004,2019"
drop,5,1,1,2,0,0,0,1,"2000,2011,2013"
crowded,5,0,2,0,1,0,1,1,2000-2020(4年)
women's,5,0,1,0,0,0,3,1,"2000,2020"
deemed,5,0,4,0,0,0,0,1,"2000,2010,2017"
admired,5,1,3,0,0,0,0,1,"2000,2003,2010"
note,5,0,2,1,1,0,0,1,2000-2018(4年)
formerly,5,1,2,0,1,0,0,1,2000-2018(4年)
journalist,5,0,1,0,2,0,1,1,"2000,2007,2023"
fame,5,0,2,1,1,0,0,1,"2000,2011,2017"
conclusion,5,1,2,1,0,0,0,1,"2000,2002,2024"
centers,5,0,2,0,0,0,2,1,2000-2023(4年)
customs,5,0,1,1,2,0,0,1,2000-2015(4年)
far-reaching,5,0,3,0,0,0,1,1,2000-2010(4年)
presents,5,0,4,0,0,0,0,1,2000-2019(4年)
witnesses,5,4,0,0,0,0,0,1,2001
controls,5,4,0,0,0,0,0,1,"2001,2012,2024"
everybody,5,1,2,1,0,0,0,1,2001-2019(4年)
penalty,5,1,3,0,0,0,0,1,"2001,2007,2019"
kingdom,5,0,1,2,1,0,0,1,2001-2017(4年)
writes,5,0,3,0,0,0,1,1,2001-2015(4年)
expansion,5,0,2,1,0,0,1,1,2001-2014(4年)
narrow,5,0,2,1,0,0,1,1,"2001,2004,2008"
justify,5,0,3,0,0,0,1,1,2001-2022(4年)
distrust,5,0,4,0,0,0,0,1,"2001,2018"
sad,5,2,1,0,0,0,1,1,"2001,2011,2022"
mistakes,5,0,4,0,0,0,0,1,"2001,2015,2018"
exists,5,1,2,0,1,0,0,1,2001-2015(4年)
hiring,5,0,1,0,0,0,3,1,"2001,2022"
prejudice,5,1,2,0,0,0,1,1,"2001,2004,2016"
ultimate,5,0,3,0,1,0,0,1,2001-2018(4年)
merger,5,0,2,0,0,0,2,1,"2001,2023"
hurt,5,0,4,0,0,0,0,1,"2001,2011"
regulate,5,0,2,0,0,0,2,1,2001-2024(4年)
absolute,5,0,3,1,0,0,0,1,2001-2016(4年)
advocate,5,0,2,0,0,0,2,1,"2001,2004,2022"
settle,5,1,2,0,0,0,1,1,2001-2020(4年)
doctrine,5,0,4,0,0,0,0,1,"2001,2015"
juggling,5,0,4,0,0,0,0,1,2001
brings,5,0,2,1,0,0,1,1,"2001,2008,2020"
parent,5,0,2,1,0,0,1,1,"2001,2007,2020"
simplify,5,0,3,0,0,0,1,1,"2001,2015,2022"
tips,5,0,2,1,0,0,1,1,2001-2024(4年)
emerged,5,0,2,1,0,0,1,1,2001-2023(4年)
star,5,0,4,0,0,0,0,1,"2001,2017"
allowing,5,0,2,0,0,0,2,1,2001-2023(4年)
pollution,5,1,2,0,0,1,0,1,2001-2024(4年)
dramatically,5,0,3,0,0,0,1,1,2001-2014(4年)
ultimately,5,0,2,2,0,0,0,1,2001-2019(4年)
smart,5,1,3,0,0,0,0,1,2001-2015(4年)
leisure,5,2,1,1,0,0,0,1,2002-2016(4年)
outcomes,5,1,1,0,0,0,2,1,2002-2023(4年)
medium,5,1,2,1,0,0,0,1,2002-2018(4年)
apparent,5,1,2,0,0,0,1,1,"2002,2014,2015"
institutional,5,1,2,1,0,0,0,1,"2002,2008,2010"
intend,5,0,3,0,0,0,1,1,"2002,2004"
smile,5,1,2,0,0,0,1,1,"2002,2011,2020"
disorganized,5,0,4,0,0,0,0,1,"2002,2009"
bosses,5,0,4,0,0,0,0,1,"2002,2007,2019"
friendly,5,0,1,0,0,0,3,1,"2002,2020"
waiting,5,1,3,0,0,0,0,1,2002-2016(4年)
pushed,5,1,3,0,0,0,0,1,2002-2019(4年)
god,5,0,2,1,0,0,1,1,2002-2020(4年)
reply,5,0,2,0,1,0,1,1,2002-2024(4年)
remark,5,0,4,0,0,0,0,1,"2002,2003,2017"
delivery,5,0,3,0,0,0,1,1,2002-2023(4年)
unexpected,5,1,2,1,0,0,0,1,2002-2017(4年)
privileges,5,0,4,0,0,0,0,1,"2002,2013,2015"
boring,5,0,4,0,0,0,0,1,"2002,2006,2018"
nasty,5,1,3,0,0,0,0,1,2002-2017(4年)
capabilities,5,0,2,0,1,0,1,1,2002-2022(4年)
pose,5,0,2,1,0,0,1,1,2002-2020(4年)
error,5,0,4,0,0,0,0,1,"2002,2012,2018"
mixed,5,1,3,0,0,0,0,1,2002-2012(4年)
extend,5,0,3,0,1,0,0,1,"2002,2012,2024"
complicated,5,0,4,0,0,0,0,1,2002-2019(4年)
previously,5,2,1,0,0,0,1,1,2002-2024(4年)
scene,5,0,1,1,1,0,1,1,2002-2022(4年)
suspicious,5,0,1,1,0,0,2,1,"2002,2005,2023"
initially,5,0,3,0,0,0,1,1,2002-2024(4年)
fulfill,5,0,4,0,0,0,0,1,2002-2012(4年)
delicate,5,1,1,2,0,0,0,1,2002-2024(4年)
performing,5,0,2,0,0,0,2,1,"2002,2017,2022"
perceive,5,0,2,2,0,0,0,1,2002-2016(4年)
shock,5,0,3,0,0,0,1,1,2002-2017(4年)
headlines,5,0,3,0,0,0,1,1,2002-2018(4年)
exports,5,0,2,0,2,0,0,1,"2002,2017"
estimates,5,1,2,1,0,0,0,1,"2002,2006,2018"
rises,5,0,4,0,0,0,0,1,"2002,2017"
shrinking,5,0,3,0,0,0,1,1,2002-2022(4年)
physician-assisted,5,0,4,0,0,0,0,1,2002
dying,5,0,4,0,0,0,0,1,2002
boston,5,1,2,0,0,0,1,1,2002-2023(4年)
maintains,5,1,2,0,0,0,1,1,2002-2018(4年)
deaths,5,0,4,0,0,0,0,1,"2002,2005,2006"
released,5,2,2,0,0,0,0,1,2002-2019(4年)
train,5,1,1,1,1,0,0,1,2002-2019(4年)
insufficient,5,1,1,0,0,0,2,1,2002-2023(4年)
hospital,5,0,3,0,0,0,1,1,2002-2022(4年)
desperate,5,0,2,0,0,0,2,1,2002-2020(4年)
trace,5,0,2,0,1,0,1,1,2002-2018(4年)
assigned,5,1,1,0,0,0,2,1,2002-2023(4年)
solve,5,0,2,1,0,0,1,1,"2002,2007,2014"
achievements,5,0,4,0,0,0,0,1,2002-2016(4年)
roles,5,1,0,0,0,0,3,1,"2003,2022"
consent,5,1,3,0,0,0,0,1,"2003,2018,2024"
strategic,5,0,2,0,2,0,0,1,2003-2017(4年)
contest,5,0,1,0,1,0,2,1,2003-2022(4年)
tiny,5,0,2,1,0,0,1,1,2003-2014(4年)
open-source,5,0,4,0,0,0,0,1,"2003,2024"
solutions,5,0,3,0,0,0,1,1,2003-2018(4年)
earns,5,0,2,1,1,0,0,1,"2003,2006,2017"
backgrounds,5,1,2,0,0,0,1,1,2003-2022(4年)
emergence,5,0,3,0,0,0,1,1,"2003,2006,2020"
misguided,5,0,2,0,0,0,2,1,"2003,2022,2023"
biomedical,5,0,4,0,0,0,0,1,"2003,2015"
father's,5,0,2,2,0,0,0,1,"2003,2009,2017"
operation,5,0,3,0,0,0,1,1,2003-2023(4年)
treatments,5,0,3,1,0,0,0,1,"2003,2005"
letters,5,0,1,1,0,0,2,1,2003-2017(4年)
recruit,5,0,2,0,0,1,1,1,2003-2023(4年)
discontent,5,0,2,0,0,0,2,1,2003-2022(4年)
complain,5,0,1,1,0,0,2,1,2003-2022(4年)
option,5,2,2,0,0,0,0,1,2003-2019(4年)
asks,5,1,1,1,0,0,1,1,2003-2023(4年)
fortunes,5,1,2,0,0,0,1,1,2003-2008(4年)
coordination,5,1,3,0,0,0,0,1,2003-2024(4年)
threatens,5,0,4,0,0,0,0,1,2003-2018(4年)
die,5,1,3,0,0,0,0,1,2003-2019(4年)
proof,5,1,2,0,0,0,1,1,2003-2020(4年)
year-old,5,0,2,0,0,0,2,1,2003-2022(4年)
prepared,5,1,1,0,0,0,2,1,"2003,2008,2023"
diseases,5,3,1,0,0,0,0,1,"2003,2008"
disapproval,5,1,3,0,0,0,0,1,2003-2016(4年)
enthusiastic,5,0,4,0,0,0,0,1,"2003,2011,2024"
lif,5,0,1,0,2,0,1,1,2003-2014(4年)
greek,5,1,1,1,0,0,1,1,2003-2018(4年)
endeavors,5,0,2,2,0,0,0,1,2003-2013(4年)
disciplines,5,0,1,3,0,0,0,1,"2003,2011"
concrete,5,0,4,0,0,0,0,1,"2003,2016,2017"
juvenile,5,0,0,0,0,0,4,1,2004
crimes,5,0,0,0,0,0,4,1,2004
committed,5,1,0,0,0,0,3,1,"2004,2005,2022"
contributing,5,0,2,1,0,0,1,1,2004-2015(4年)
disadvantaged,5,0,0,0,0,0,4,1,2004
adequate,5,0,1,1,0,0,2,1,2004-2022(4年)
acts,5,0,2,0,1,0,1,1,2004-2017(4年)
assimilation,5,0,2,1,0,0,1,1,"2004,2006,2015"
length,5,0,2,0,0,0,2,1,2004-2023(4年)
criteria,5,0,2,0,0,0,2,1,"2004,2017"
salary,5,0,1,1,0,0,2,1,2004-2022(4年)
won,5,0,0,2,0,0,2,1,2004-2022(4年)
repeated,5,0,3,0,0,0,1,1,"2004,2008,2018"
visits,5,0,0,0,0,0,4,1,"2004,2022"
signed,5,0,0,1,0,0,3,1,"2004,2008,2023"
considers,5,0,1,1,0,0,2,1,2004-2022(4年)
matches,5,0,0,0,0,0,4,1,2004
happily,5,1,0,0,2,0,1,1,"2004,2007,2016"
employed,5,0,1,0,0,0,3,1,"2004,2008"
hunter,5,0,2,0,0,0,2,1,"2004,2014,2024"
allen,5,0,0,0,3,0,1,1,"2004,2011"
spare,5,0,0,1,0,0,3,1,2004-2023(4年)
inequality,5,0,3,0,0,0,1,1,2004-2018(4年)
east,5,0,1,1,0,0,2,1,2004-2023(4年)
subtle,5,0,1,1,1,0,1,1,"2004,2011,2012"
cutting,5,1,1,1,0,0,1,1,2004-2016(4年)
weekly,5,0,1,0,1,0,2,1,2004-2019(4年)
indicator,5,0,3,0,0,0,1,1,"2004,2007,2017"
pretty,5,0,2,0,0,0,2,1,"2004,2008,2015"
investors,5,0,2,1,0,0,1,1,2004-2019(4年)
sustained,5,0,1,1,0,0,2,1,2004-2020(4年)
reject,5,0,1,0,0,0,3,1,"2004,2011,2020"
path,5,0,0,0,0,0,4,1,2004-2022(4年)
hofstadter,5,0,0,0,0,0,4,1,2004
urges,5,0,1,0,2,0,1,1,"2004,2013,2024"
emerson,5,0,0,0,1,0,3,1,"2004,2006"
schooling,5,0,0,0,1,0,3,1,"2004,2009"
adjust,5,0,3,0,0,0,1,1,2004-2018(4年)
eagerness,5,0,1,1,0,0,2,1,2004-2017(4年)
root,5,0,0,1,0,0,3,1,"2004,2013,2022"
realized,5,1,1,0,0,0,2,1,2004-2022(4年)
sapir,5,0,0,0,0,0,4,1,2004
whorf,5,0,0,0,0,0,4,1,2004
unfamiliar,5,2,0,2,0,0,0,1,2005-2019(4年)
fire,5,1,1,1,0,0,1,1,2005-2024(4年)
grievance,5,0,1,0,0,0,3,1,"2005,2022"
capuchin,5,0,4,0,0,0,0,1,2005
refused,5,0,2,2,0,0,0,1,"2005,2006,2017"
feels,5,1,3,0,0,0,0,1,"2005,2011,2018"
fairness,5,0,2,0,0,0,2,1,"2005,2014,2015"
evolved,5,0,2,2,0,0,0,1,"2005,2009,2016"
trained,5,0,3,1,0,0,0,1,2005-2024(4年)
legislative,5,0,3,1,0,0,0,1,"2005,2007,2008"
promising,5,1,2,0,0,0,1,1,2005-2022(4年)
outcome,5,0,3,1,0,0,0,1,"2005,2007,2012"
revolutionary,5,0,2,1,0,0,1,1,2005-2024(4年)
referring,5,0,4,0,0,0,0,1,"2005,2017,2018"
skill,5,1,3,0,0,0,0,1,2005-2018(4年)
gift,5,0,3,0,1,0,0,1,2005-2017(4年)
pen,5,1,1,1,0,0,1,1,2005-2022(4年)
varieties,5,0,3,1,0,0,0,1,"2005,2011"
elaborate,5,0,2,2,0,0,0,1,"2005,2010,2018"
premiers,5,0,0,4,0,0,0,1,2005
ottawa,5,0,0,4,0,0,0,1,2005
direction,5,0,0,3,0,0,1,1,2005-2020(4年)
assessment,5,0,3,1,0,0,0,1,2005-2018(4年)
complaint,5,0,2,1,0,0,1,1,"2005,2014,2018"
resistance,5,0,1,2,0,0,1,1,2005-2018(4年)
council,5,1,2,1,0,0,0,1,2005-2019(4年)
connect,5,1,0,1,1,0,1,1,2005-2023(4年)
flexible,5,1,0,2,1,0,0,1,2005-2024(4年)
respects,5,0,2,0,2,0,0,1,2005-2016(4年)
unity,5,0,2,0,2,0,0,1,"2005,2015"
varied,5,0,0,1,3,0,0,1,"2005,2013,2015"
boss,5,0,2,0,0,1,1,1,"2005,2007,2022"
apology,5,0,1,0,0,2,1,1,2005-2024(4年)
dress,5,1,1,2,0,0,0,1,"2006,2016"
what's,5,2,0,1,0,0,1,1,2006-2018(4年)
puts,5,3,1,0,0,0,0,1,2006-2018(4年)
retain,5,1,2,0,0,0,1,1,2006-2016(4年)
displays,5,1,0,1,0,0,2,1,2006-2022(4年)
comprehensive,5,1,3,0,0,0,0,1,2006-2018(4年)
manipulation,5,1,0,0,0,0,3,1,"2006,2023"
absence,5,0,3,0,1,0,0,1,"2006,2010,2015"
married,5,1,3,0,0,0,0,1,"2006,2008,2016"
somehow,5,1,3,0,0,0,0,1,"2006,2008,2015"
sights,5,1,2,0,0,0,1,1,"2006,2019,2023"
palace,5,0,2,0,0,0,2,1,"2006,2014,2023"
decorated,5,0,1,2,0,0,1,1,"2006,2018,2022"
forth,5,0,1,1,1,0,1,1,2006-2020(4年)
seats,5,0,2,0,0,0,2,1,"2006,2020"
alike,5,0,2,1,0,0,1,1,2006-2022(4年)
sold,5,0,3,0,0,0,1,1,"2006,2011,2023"
difficulties,5,0,1,0,0,0,3,1,"2006,2022"
poorly,5,0,2,0,0,0,2,1,"2006,2009,2022"
myers,5,0,4,0,0,0,0,1,2006
worm,5,0,4,0,0,0,0,1,2006
estimate,5,0,4,0,0,0,0,1,"2006,2009,2016"
predators,5,0,3,0,1,0,0,1,"2006,2010"
baseline,5,0,4,0,0,0,0,1,2006
sustainable,5,0,2,2,0,0,0,1,"2006,2013,2016"
disappeared,5,0,3,0,0,0,1,1,2006-2014(4年)
painting,5,0,4,0,0,0,0,1,"2006,2024"
anti-happy,5,0,4,0,0,0,0,1,2006
literacy,5,0,2,1,0,0,1,1,2006-2018(4年)
forever,5,0,3,1,0,0,0,1,"2006,2016"
poets,5,0,3,0,0,0,1,1,"2006,2007,2022"
emerges,5,1,2,1,0,0,0,1,2006-2019(4年)
williams,5,0,0,4,0,0,0,1,2006
charging,5,0,2,1,0,0,1,1,"2006,2019,2020"
friend,5,0,0,2,1,1,0,1,"2006,2011,2016"
williams's,5,0,0,4,0,0,0,1,2006
weakness,5,0,1,2,1,0,0,1,2006-2019(4年)
intellectuals,5,0,1,0,3,0,0,1,"2006,2009"
shall,5,0,2,0,1,0,1,1,2006-2023(4年)
elected,5,0,3,0,1,0,0,1,"2006,2017"
judge,5,1,1,0,2,0,0,1,"2006,2013,2017"
excludes,5,1,1,0,2,0,0,1,"2006,2012,2017"
colonies,5,2,1,0,1,0,0,1,"2007,2009,2015"
talent,5,1,3,0,0,0,0,1,2007
equality,5,1,2,0,0,0,1,1,"2007,2017,2020"
inhabitants,5,1,1,0,1,0,1,1,2007-2022(4年)
devoted,5,2,2,0,0,0,0,1,"2007,2011,2017"
contributed,5,2,1,0,0,0,1,1,2007-2022(4年)
peak,5,0,3,0,0,0,1,1,2007-2017(4年)
exhibit,5,0,1,3,0,0,0,1,"2007,2024"
achievers,5,0,4,0,0,0,0,1,"2007,2012"
sunday,5,1,1,0,0,0,2,1,"2007,2010,2020"
verbal,5,0,2,2,0,0,0,1,"2007,2019"
variations,5,0,2,2,0,0,0,1,"2007,2010,2018"
standardized,5,0,4,0,0,0,0,1,"2007,2009"
count,5,0,2,0,2,0,0,1,2007-2019(4年)
airline,5,0,4,0,0,0,0,1,"2007,2017"
weak,5,0,3,0,1,0,0,1,"2007,2010,2015"
shareholders,5,0,4,0,0,0,0,1,"2007,2016,2019"
restore,5,1,3,0,0,0,0,1,"2007,2016,2019"
ftc,5,0,4,0,0,0,0,1,"2007,2013"
coping,5,0,3,1,0,0,0,1,"2007,2008,2018"
clues,5,0,0,3,0,0,1,1,"2007,2014,2015"
discussions,5,0,0,3,0,0,1,1,"2007,2019,2023"
responsibilities,5,0,1,1,1,0,1,1,"2007,2011,2014"
inside,5,2,0,2,0,0,0,1,2007-2024(4年)
informed,5,0,1,1,1,0,1,1,2007-2018(4年)
interpretations,5,1,0,1,1,0,1,1,2007-2015(4年)
category,5,0,1,3,0,0,0,1,"2008,2013"
deals,5,1,2,0,0,0,1,1,"2008,2012,2022"
ended,5,1,2,1,0,0,0,1,"2008,2010,2015"
mother,5,0,2,1,0,0,1,1,2008-2020(4年)
paycheck,5,0,4,0,0,0,0,1,2008
avoiding,5,0,3,1,0,0,0,1,"2008,2016"
core,5,0,2,0,0,0,2,1,"2008,2015,2022"
titles,5,0,1,0,0,0,3,1,"2008,2020,2023"
open-access,5,0,4,0,0,0,0,1,2008
peer-review,5,0,4,0,0,0,0,1,"2008,2015"
discusses,5,0,2,0,0,0,2,1,"2008,2014,2019"
constraints,5,0,3,0,1,0,0,1,2008-2016(4年)
army,5,0,1,0,0,0,3,1,"2008,2022"
slave,5,0,0,4,0,0,0,1,2008
founders,5,0,0,1,0,0,3,1,"2008,2014,2022"
opposition,5,0,3,1,0,0,0,1,2008-2024(4年)
unknown,5,0,2,1,0,0,1,1,2008-2022(4年)
prestige,5,0,0,1,0,0,3,1,"2008,2014,2023"
clean,5,0,1,3,0,0,0,1,"2008,2013,2024"
founded,5,1,0,0,1,0,2,1,"2008,2012,2020"
delight,5,1,2,0,1,0,0,1,"2008,2011,2018"
bob,5,0,2,1,0,1,0,1,"2008,2010,2013"
instinct,5,2,0,0,1,0,1,1,2009-2018(4年)
brains,5,1,2,0,0,0,1,1,2009-2022(4年)
inherent,5,0,4,0,0,0,0,1,"2009,2016,2017"
kinship,5,1,2,1,0,0,0,1,"2009,2015"
collecting,5,1,3,0,0,0,0,1,"2009,2017,2019"
candidate,5,2,1,0,0,0,1,1,"2009,2013,2020"
inherited,5,0,3,0,0,0,1,1,"2009,2014,2015"
sample,5,0,3,0,0,0,1,1,"2009,2014,2024"
locate,5,0,1,0,1,0,2,1,"2009,2014,2024"
complexity,5,0,3,0,0,0,1,1,2009-2024(4年)
ministers,5,0,3,1,0,0,0,1,"2009,2010"
england's,5,0,3,1,0,0,0,1,2009-2019(4年)
englanders,5,0,4,0,0,0,0,1,2009
settlers,5,0,3,0,0,0,1,1,"2009,2023"
impressive,5,1,3,0,0,0,0,1,"2009,2011,2024"
servants,5,0,3,1,0,0,0,1,2009-2019(4年)
obsessed,5,0,4,0,0,0,0,1,2009-2024(4年)
lewis,5,0,0,1,0,0,3,1,"2009,2020"
anthropologists,5,0,0,4,0,0,0,1,2009
attempted,5,1,1,1,1,0,0,1,2009-2015(4年)
associations,5,0,0,0,1,0,3,1,"2009,2014,2023"
receives,5,0,2,0,1,0,1,1,"2009,2012,2014"
gains,5,0,3,0,1,0,0,1,2009-2018(4年)
bags,5,0,2,0,0,1,1,1,"2009,2017,2022"
hawthorne,5,4,0,0,0,0,0,1,2010
sight,5,1,0,0,3,0,0,1,"2010,2015,2024"
sentiment,5,1,2,0,0,0,1,1,"2010,2016,2023"
enlightening,5,1,1,1,0,0,1,1,2010-2022(4年)
classical-music,5,0,4,0,0,0,0,1,"2010,2011"
stylist,5,0,1,3,0,0,0,1,"2010,2016"
stake,5,0,2,0,0,0,2,1,"2010,2022,2024"
holders,5,0,3,0,0,0,1,1,"2010,2020"
prevailing,5,0,2,0,0,0,2,1,2010-2023(4年)
connected,5,3,0,1,0,0,0,1,2010-2024(4年)
sudden,5,0,2,1,0,0,1,1,2010-2024(4年)
aim,5,0,3,1,0,0,0,1,2010-2016(4年)
standard-setters,5,0,0,4,0,0,0,1,2010
lobbying,5,0,2,2,0,0,0,1,"2010,2017"
shares,5,0,0,2,0,0,2,1,"2010,2014"
iasb,5,0,0,4,0,0,0,1,2010
inviting,5,0,0,1,2,0,1,1,2010-2022(4年)
evade,5,1,2,1,0,0,0,1,"2010,2012,2019"
sale,5,0,1,2,1,0,0,1,"2010,2012,2024"
boosting,5,1,1,1,0,0,1,1,2010-2022(4年)
anxious,5,0,2,1,1,0,0,1,"2010,2015,2024"
europe's,5,0,2,2,0,0,0,1,"2010,2015,2016"
grow,5,1,1,1,1,0,0,1,"2010,2016"
master,5,0,1,2,1,0,0,1,"2010,2011,2019"
producers,5,0,0,4,0,0,0,1,"2010,2011"
operators,5,0,2,2,0,0,0,1,"2010,2024"
